id;size;rank;Rdiag
117;143;44;74761.4 -56303.1 -53612.8 -32983.6 -31647.5 29700.7 -29643.4 21604.2 -19983.9 18012.6 16950 -16394.4 -16384.2 9400.56 9384.63 8733.22 -8718.41 7961.71 7880.69 7382.34 7230.17 7164.64 4136.68 3075.43 -2727.95 -2326.86 -1845.27 -1812.37 -1413.55 1385.68 -1220.68 1217.81 -1158.01 1155.41 1149.05 -1139.69 1048.3 -1041.66 975.08 927.922 -909.402 -907.702 -862.346 748.408 -708.548 -684.832 -678.283 644.88 631.916 -609.513 602.002 -584.695 579.481 576.132 561.806 -536.51 -476.084 -454.223 452.014 415.378 -397.962 392.075 374.229 363.871 344.687 -302.143 -277.211 261.28 231.373 223.536 -189.93 -184.797 -170.94 154.836 129.048 125.693 -115.925 -100.853 -96.7151 -96.4683 93.4399 92.7871 -84.578 78.8649 77.1283 -64.5376 -59.9523 52.7459 50.6866 -47.7811 -40.4801 40.247 35.2602 33.3421 29.0934 25.8628 22.8192 -22.7157 18.6988 -17.8081 15.907 15.382 -14.1572 -13.5681 11.1656 10.8896 9.9201 8.52472 -7.07596 6.83945 6.75619 -6.10883 5.07739 4.09707 -3.69359 -3.17044 2.99086 2.32804 -2.28115 1.87355 -1.73414 -1.39698 1.27695 1.07971 -1.04552 1.04075 0.696457 0.615003 -0.600119 -0.57233 0.538113 -0.498094 -0.489669 0.471032 -0.462438 -0.410936 -0.303462 0.294491 -0.275693 -0.27438 -0.25319 -0.197521 0.145924 
118;24;24;
119;111;26;-89545.2 46945.3 46897.8 -2445.62 -2140.89 -2122.82 2086.16 2053.86 -1722.74 1681.84 -1524.65 -1487.18 1418.7 1371.23 -1313.86 -1281.28 -1216.49 -1213.32 -1180.75 1123.19 1096.13 -1057.25 -1040.83 1022.02 -975.832 -896.599 -895.195 -877.659 -844.63 843.757 -811.905 -761.471 -756.192 728.623 724.619 696.233 663.837 642.252 -636.231 -608.741 -590.547 -570.022 -524.462 514.194 510.263 -490.52 -475.807 -454.774 -436.357 422.859 420.209 403.443 -336.834 308.549 -285.057 245.512 241.515 -222.677 -206.583 -198.856 196.013 161.853 -148.92 128.176 112.544 110.902 -107.836 106.977 88.2515 -85.4714 83.2428 73.855 70.0271 -61.6061 54.0593 52.3608 52.1296 49.6426 48.5961 41.4885 34.4585 -31.6339 30.9736 -24.0824 -23.1577 16.646 -15.1687 13.7082 -13.0648 -9.48959 -7.16512 6.68762 -5.98744 -4.94741 -4.28658 4.10194 3.87097 -3.80726 -3.10813 2.20414 1.49615 1.36775 -1.10928 0.998172 0.820924 -0.765195 0.569643 0.47497 0.321911 -0.188792 -0.156107 
120;33;33;
121;114;62;15234 14072.8 5689.57 5488.92 -4967.25 -4414.98 -2532.38 -2233.12 2162.06 -2130.75 2070.57 1991.03 -1920.42 1875.94 1873.1 -1781.29 -1688.86 -1649.07 -1612.66 1593.66 -1504 1424.81 1326.21 -1298.67 -1284.01 -1282.09 1277.78 1230.8 1174.07 -1142.11 1134.93 1120.02 -979.852 -913.938 -912.834 -843.126 837.01 824.245 788.993 763.962 747.668 -697.55 -687.292 -657.451 -625.408 591.741 481.826 -447.96 396.46 380.942 349.447 338.668 309.269 247.606 -242.259 -235.675 -222.82 194.538 -170.944 -163.889 -162.703 155.301 121.683 109.437 104.248 -102.827 92.3015 80.6485 -75.8896 -74.435 66.5355 -58.8447 -57.1667 54.2459 -53.4644 46.4754 -41.2 38.6976 -34.3604 32.487 29.8731 29.7046 -24.4315 -21.7558 20.5189 -19.4144 -19.0727 -16.6835 14.5028 -14.1186 -13.6833 12.9071 -11.9921 -9.73457 -7.79202 -7.76759 -7.55725 -5.51566 -5.21135 -4.73242 4.61484 -2.5303 -1.9554 1.88261 -1.6045 -1.54152 -1.40585 -0.818806 -0.769311 0.500302 0.416835 0.325604 0.221864 0.172504 
122;90;11;125429 103721 -97366.7 -66541.4 -66433.5 54665.5 54642 51313.3 -51259.5 -1492.99 1255.24 1136.69 -1100.23 1075.92 1035.71 944.032 -891.327 848.107 832.446 821.994 807.415 793.89 771.197 -754.941 -729.05 -728.354 -699.513 -615.457 601.271 -597.295 593.741 593.119 592.463 587.354 -578.73 526.93 485.598 468.519 -458.208 456.01 453.14 -449.531 437.498 402.165 -396.958 -393.699 365.165 -345.671 318.443 -304.527 -290.511 -262.441 -239.976 196.919 182.268 -66.2977 63.5249 55.5143 -38.8402 -38.3035 -31.5117 28.0932 22.9643 -17.1705 14.8735 -7.81046 -7.00881 -2.29516 -1.38046 -0.880575 -0.660353 -0.380075 -0.347404 0.309033 -0.255176 -0.20786 -0.170754 -0.154443 -0.1142 -0.0597555 -0.05237 0.0497792 0.0292847 0.0251405 -0.0187559 0.0141467 -0.0130217 0.00346254 -0.00231334 0.00156644 
123;30;30;
124;120;13;108958 106354 -78793.8 67684.7 57733.4 57605 56297.6 56207 -41518 -41275.6 -35496.9 35311.2 1292.08 1012.74 -906.169 888.674 875.979 -866.253 807.903 -795.997 736.581 702.927 -700.577 681.066 677.154 626.725 620.425 -555.733 527.722 -523.963 -496.239 -493.935 490.159 -483.948 479.877 451.65 431.388 -421.639 416.345 414.071 413.264 -411.597 396.724 377.648 349.476 -318.904 -314.781 283.067 -257.176 162.592 79.1877 66.134 63.4297 62.4031 60.6526 55.0753 45.7782 40.5953 37.722 -37.0495 34.6078 33.9213 29.3795 28.5217 26.947 -24.2237 14.2305 9.74224 9.11629 7.99918 6.35828 4.71678 -2.21879 1.44286 -1.1177 -0.665659 -0.574654 -0.225997 0.215812 0.143113 -0.120293 0.0801043 -0.0650857 0.0469797 0.0324484 0.0179147 -0.0148868 0.0130886 0.0123661 -0.0101619 0.00959294 -0.00740016 -0.00655702 0.00611378 -0.00489216 0.00456835 0.00305454 -0.00197884 -0.00156411 -0.00136697 0.00120085 0.00104563 0.000956124 0.00069593 0.000617729 0.000384279 0.000240853 0.000217997 0.000167611 -0.00016502 0.000100987 -9.49337e-05 8.90925e-05 8.7656e-05 7.98555e-05 5.51848e-05 4.22986e-05 4.16979e-05 2.75716e-05 -1.62592e-05 
125;112;32;-130079 -84628.7 72144.3 -60218.6 -59721.7 54783.4 54507.8 53213.7 47913.6 44752.8 -35471.3 27728.7 27527.6 -25928.9 -24660.5 23167.9 22154 20970.8 14651.5 -11423.8 -11153.4 -10638 5483.28 -4715.92 -4707.27 4598.3 4550.11 3091.43 -2102.15 -1564.43 -1560.47 -1375.1 1234.03 1198.97 1192.54 -927.392 -908.741 -800.921 793.465 776.186 725.763 -662.633 -605.079 -576.785 -543.134 -537.934 -535.617 -516.531 494.892 -488.556 417.303 -359.986 -357.562 -333.998 -326.834 -301.096 273.233 267.998 -257.484 238.138 -229.92 -207.019 -190.122 -189.246 -184.658 -167.504 -165.67 148.729 -137.595 96.765 -95.9301 95.7409 -94.0183 91.5659 -78.9882 62.9939 56.5523 40.503 -33.5715 -30.1905 -25.8665 24.8824 23.3188 22.1635 17.504 -14.6579 -14.0306 13.5685 11.1118 9.6749 9.07537 8.51513 6.40389 -5.69999 -4.97397 -4.0933 -4.05457 -3.72233 2.95663 2.7129 2.43604 -1.7868 -1.51878 1.21083 -1.15522 0.945957 0.898643 0.628125 -0.463323 0.435278 -0.295905 0.176656 
126;151;52;102407 97682.8 78498 -75589.2 -74224.3 -70603.1 -66997.7 -66722.5 64829 -58898.9 56955.8 -56859.7 -53456.8 -52097.7 44235.8 41555.2 -41206.9 39221.8 -37563.1 36946.1 34672.9 31901.7 30963.5 29134.5 -28921.9 27998.7 25143.7 -24832.4 21014.2 16462.6 14456.9 -13196.8 -11948 -11532.2 -9259.09 7285.92 -7017.73 -4466.03 -3517.64 2836.39 2742.07 -2730.06 -2713.32 -2060.81 -1995.36 1712.54 -1593.91 1517.31 1291.17 1276.52 1276.47 1155.16 827.458 -779.718 713.218 700.859 653.534 -499.097 -453.687 -448.072 430.938 -274.155 -243.166 240.076 -198.678 -189.773 -177.964 -150.725 127.73 116.03 113.732 101.139 -100.357 -93.9981 -90.6558 79.4512 -73.9951 62.3427 -55.2629 -50.1597 -46.5657 34.5085 33.9023 -27.7355 19.2554 -16.284 16.0227 15.6791 13.5741 -11.572 11.2121 -10.0457 9.5934 -9.32205 9.16726 -8.63504 -8.29807 8.16646 7.51028 7.26 -6.93844 6.37907 -5.9764 5.57366 -4.23798 -4.1967 -3.87008 3.73773 3.60682 2.99836 -2.53015 2.2089 -2.13034 1.96171 1.75539 1.47872 1.33317 -1.07085 -0.866572 -0.771776 -0.699133 -0.692856 0.670328 -0.651799 -0.631302 0.630153 0.576967 0.558328 -0.523035 0.482512 -0.449006 -0.445942 0.414816 0.408481 -0.384309 0.350907 -0.339218 0.333932 0.326239 0.312654 -0.285691 -0.265823 -0.263545 0.25879 0.251192 -0.244223 -0.235197 -0.213149 -0.203983 -0.19174 0.16891 
