id,x,y,z
373,2922.594,3139.39,-0.1339
374,2922.594,3139.39,-0.1339
375,-397.551,734.55,0.2858
376,-397.551,734.55,0.2858
377,-397.551,734.55,0.2858
378,-420.937,778.83,-2.6671
379,-420.937,778.83,-2.6671
380,-420.937,778.83,-2.6671
381,-378.126,687.21,1.092
382,-378.126,687.21,1.092
383,-378.126,687.21,1.092
384,2505.783,4334.71,-3.124
385,2505.783,4334.71,-3.124
386,2505.783,4334.71,-3.124
387,2751.484,3171.01,-1.3499
388,2751.484,3171.01,-1.3499
389,2751.484,3171.01,-1.3499
390,2806.292,3003.89,-3.9218
391,2806.292,3003.89,-3.9218
392,2806.292,3003.89,-3.9218
393,2635.25,3034.44,-1.784
394,2635.25,3034.44,-1.784
395,2635.25,3034.44,-1.784
396,2689.989,2868.38,-7.4113
397,2689.989,2868.38,-7.4113
398,2689.989,2868.38,-7.4113
399,2518.655,2898.82,-2.4201
400,2518.655,2898.82,-2.4201
401,2518.655,2898.82,-2.4201
402,2573.687,2732.88,0.6563
403,2573.687,2732.88,0.6563
404,2573.687,2732.88,0.6563
405,2401.055,2764.05,-4.2278
406,2401.055,2764.05,-4.2278
407,2401.055,2764.05,-4.2278
408,2457.384,2597.37,-0.5546
409,2457.384,2597.37,-0.5546
410,2457.384,2597.37,-0.5546
411,2284.592,2628.79,0.1158
412,2284.592,2628.79,0.1158
413,2284.592,2628.79,0.1158
414,2341.082,2461.87,0.8882
415,2341.082,2461.87,0.8882
416,2341.082,2461.87,0.8882
417,2168.782,2492.92,-1.4408
418,2168.782,2492.92,-1.4408
419,2168.782,2492.92,-1.4408
420,2224.779,2326.36,-1.0798
421,2224.779,2326.36,-1.0798
422,2224.779,2326.36,-1.0798
423,2052.704,2356.29,0.3908
424,2052.704,2356.29,0.3908
425,2052.704,2356.29,0.3908
426,2108.477,2190.86,-0.1967
427,2108.477,2190.86,-0.1967
428,2108.477,2190.86,-0.1967
429,1935.748,2221.02,0.4815
430,1935.748,2221.02,0.4815
431,1935.748,2221.02,0.4815
432,1992.175,2055.35,-0.2201
