7059;3;3
X;id
 1.66667 7.5 0;4
 1.66667 7.5 0;4
 1.66667 7.5 0;4
 2.5 7.5 0;4
 2.5 7.5 0;4
 2.5 7.5 0;4
 3.33333 7.5 0;4
 3.33333 7.5 0;4
 3.33333 7.5 0;4
 4.16667 7.5 0;4
 4.16667 7.5 0;4
 4.16667 7.5 0;4
 5 7.5 0;10
 5 7.5 0;10
 5 7.5 0;10
 0 8.33333 0;4
 0 8.33333 0;4
 0 8.33333 0;4
 0.833333 8.33333 0;4
 0.833333 8.33333 0;4
 0.833333 8.33333 0;4
 1.66667 8.33333 0;4
 1.66667 8.33333 0;4
 1.66667 8.33333 0;4
 2.5 8.33333 0;4
 2.5 8.33333 0;4
 2.5 8.33333 0;4
 3.33333 8.33333 0;4
 3.33333 8.33333 0;4
 3.33333 8.33333 0;4
 4.16667 8.33333 0;4
 4.16667 8.33333 0;4
 4.16667 8.33333 0;4
 5 8.33333 0;10
 5 8.33333 0;10
 5 8.33333 0;10
 0 9.16667 0;4
 0 9.16667 0;4
 0 9.16667 0;4
 0.833333 9.16667 0;4
 0.833333 9.16667 0;4
 0.833333 9.16667 0;4
 1.66667 9.16667 0;4
 1.66667 9.16667 0;4
